Base de Cálculo,Alíquota,Valor do Imposto,Alíquota Efetiva
"0,00","0,00","0,00","0,00"
"-150,00","0,00","0,00","0,00"
"1500,00","0,00","0,00","0,00"
"2400,00","7,50","37,20","1,55"
"3200,00","15,00","125,20","3,91"
"4000,00","22,50","263,87","6,59"
"15000,00","27,50","3.255,64","21,70"
"1903,98","0,00","0,00","0,00"
"1903,99","7,50","0,00","0,00"
"2826,65","7,50","69,20","2,44"
"2826,66","15,00","69,20","2,44"
"3751,05","15,00","207,86","5,54"
"3751,06","22,50","207,86","5,54"
"4664,68","22,50","413,42","8,86"
"4664,69","27,50","413,42","8,86"
"99999999,99","27,50","27.499.130,63","27,49"
